Date,BUSG Index,BUHY Index,BUSC Index,BMBS Index,CRY Index,SPX Index,BGER Index,BERC Index,BEUH Index,DAX Index,BJPN Index,BJPY Index,NKY Index,BRIT Index,BGBP Index,BGBH Index,UKX Index,BAUS Index,BAUD Index,AS51 Index,BEMS Index,BIEM Index,BEAC Index,VEIEX US Equity,BCGB Index,SHSZ300 Index
3/19/2015,-0.002932804,0.001967007,-0.002472632,0.00222387,-0.004960401,-0.004884498,-0.001414173,-0.001261218,-0.000184478,-0.001962039,0.003730835,0.000833611,-0.003481202,0.008171331,0.006765667,0.001447929,0.002461979,-0.001702128,-0.000524114,0.018395249,0.006024239,0.002213527,0.005628322,-0.005081113,0.000293169,-0.001643552
3/20/2015,0.002397254,0.001551205,0.002164782,0.000925155,0.014669286,0.008972345,0.000322578,0.000268795,0.000424249,0.011694134,-0.000760988,9.25806E-05,0.004286221,0.001858788,0.001252364,0.000364502,0.008607952,0.001288922,0.000905116,0.004138421,0.005250147,0.003937496,0.004127375,0.009360443,0.002285399,0.01366624
3/23/2015,0.0005031,0.001365946,0.001052025,-0.000369959,0.007660595,-0.001747173,-0.002179425,-0.001269946,-0.0001291,-0.011993354,2.65558E-05,-3.70312E-05,0.009876314,0.000398845,0.000520827,0.00064894,0.002156445,-0.0013441,-2.72096E-05,-0.003244154,0.004494819,0.003972236,0.002728249,0.004647568,0.001801861,0.020214468
3/24/2015,0.002430785,0.001324949,0.002814267,-0.000370096,-0.001041072,-0.006158383,-0.000337979,-0.00050843,-0.000202905,0.009191945,-0.000106228,1.85158E-05,-0.002073083,0.002691477,0.000799766,-0.000210575,-0.002559517,0.002679517,0.001366367,0.002171198,0.002759166,0.003070704,0.003032692,0,-0.001038514,0.000247951
3/25/2015,-0.002536252,0.001329709,-0.002828573,-0.000370233,0.007517228,-0.01466595,5.87872E-05,4.48719E-05,0.000454942,-0.011760844,0.000433692,-0.000268512,0.001659924,-0.000322321,0.000431354,0.000204884,-0.004098317,-0.000674369,-0.000183433,0.000708735,0.002081321,0.000914377,0.002477613,-0.010487569,0.000957419,-0.008247769
3/26/2015,-0.003967162,-8.46837E-05,-0.004904642,-0.000740878,0.010679235,-0.00238026,0.000558306,0.000448608,-0.000196706,-0.001825468,0.000583859,-7.4085E-05,-0.014028726,-0.00859687,-0.008387596,-0.002512729,-0.013774945,-0.002425981,-0.000475724,-0.015905505,-0.003174563,-0.003182495,0.000131322,-0.007446634,-0.004494828,0.002430039
3/27/2015,0.002928117,0.000449393,0.003265268,-0.000556019,-0.019907194,0.002365704,0.000286378,0.000448407,0.001640085,0.002079116,-0.004680445,-0.000917257,-0.009572083,0.006042064,0.004651483,0.001448012,-0.00586314,0.000241483,0.000360212,0.006929093,0.001276463,0.001495962,0.00137439,-0.002363136,-0.000586711,0.005478134
3/30/2015,-0.000357421,0.000755046,-0.0001863,0.000556019,-0.00423133,0.012162397,0.000234916,-3.73596E-05,0.000374324,0.018175077,-0.000133288,-0.00012051,0.006500263,-0.003113036,-0.003092198,-0.000598333,0.00529738,0.002074354,0.00150062,-0.012552576,0.000393474,0.000643505,0.000124224,0.016037895,-0.002472855,0.028905935
3/31/2015,0.001493822,0.000539899,0.001653988,0.002220989,-0.011238436,-0.008834639,0.001987234,0.001112717,0.000269917,-0.009965084,-0.000773419,-0.000667705,-0.010586247,-0.000531285,-0.000510973,-5.70013E-06,-0.017328585,0.002736243,0.000698615,0.007738421,0.000644149,0.001699721,0.000110408,0.001550989,-0.003798706,-0.009085273
4/1/2015,0.003587411,0.000559106,0.004418674,-0.000739782,0.019916033,-0.003973278,0.000183125,0.000373118,0.000790928,0.002938141,0.001404158,0.00096432,-0.009003291,0.004324867,0.003036452,0.001816696,0.00536867,0.002413771,0.000935245,-0.005233389,0.003950729,0.004648737,0.003327217,0.011939291,0.002842202,0.017783984
4/2/2015,-0.002500922,0.001026381,-0.002081982,-0.001851852,-0.000152704,0.003523443,-0.001055262,-1.4922E-05,0.000306393,-0.002836192,0.002749277,0.000630015,0.014496586,-0.004110939,-0.003502943,0.000210501,0.003512438,-0.001535362,-0.000352308,0.006433889,0.002259233,-0.000205994,0.003693106,0.012554854,0.000515154,0.00021361
4/3/2015,0.003833808,0.00028564,0.00347705,0,0,0,5.13232E-05,8.20684E-05,0.000140909,0,-0.00226095,-0.000203785,0.00631211,8.27986E-05,0.000121436,0.000182019,0,0.000109747,0.000142293,0,0.000363698,0.001001161,0.000191833,0,0.001135672,0.011033329
4/6/2015,-0.003282907,0.001589006,-0.003120238,0.002036849,0.018037239,0.006586997,0.000168615,0.000238706,0.000410362,0,0.000115388,0.000213047,-0.001910744,0.000255253,0.000370609,0.000540173,0,0.000336025,0.000419986,0,0.001675341,0.00036897,0.001204968,0.012399182,0.000310247,0
4/7/2015,0.000963348,0.002627663,0.00241583,-0.000740192,0.008267652,-0.002064014,-0.001100175,0.000313215,0.001272888,0.012961917,-0.00051491,-0.000213047,0.012426861,-0.000545078,-0.000345046,0.000857991,0.018602618,-0.00285638,-0.001891327,0.004631729,0.000994457,0.001566604,0.004567044,-0.001494769,-0.00124974,0.021234445
4/8/2015,-0.000420845,0.002717472,0.000426973,0.001294978,-0.024879639,0.002679026,0.001232114,0.001311456,0.001942923,-0.007256841,-0.000648454,-0.000176029,0.007571361,0.000869223,0.000760221,0.001265755,-0.003505246,0.000357494,0.000400256,0.005849413,0.002321027,0.002490168,0.006442941,0.019993261,-0.001586886,0.008359011
4/9/2015,-0.003194476,0.001301253,-0.003292407,-0.000369822,-0.001212399,0.004447562,-0.00063787,-0.00015639,0.002188898,0.010790815,-8.88585E-06,0.00011118,0.007446256,-0.000827815,-0.00028741,0.001241493,0.011173525,-0.001410093,-0.000434184,-0.00479512,0.000763553,0.000572145,0.005722322,0.011299555,0.001431581,-0.007867587
4/10/2015,-0.000105576,0.001048788,0.000342573,0.0009243,0.004568645,0.005189316,0.000733149,0.000402097,-0.000389871,0.016975148,0.00147397,0.000287158,-0.00151034,-0.00045559,-0.000274714,0.000826807,0.010550869,2.7533E-05,-0.000210376,0.006075183,-0.001105331,0.000451834,0.002567085,0.000362384,0.000245208,0.01912043
4/13/2015,0.001168831,0.001317468,0.001027016,0.000369481,-0.001378042,-0.004591746,0.001464687,0.000416819,0.000359418,-0.002913394,-0.000337223,0.000101875,-0.000109009,0.000779899,0.000587668,0.000452755,-0.003598969,0.002158982,0.001959529,-0.001357238,-0.000355305,0.00095947,0.001770268,0.003977586,4.08622E-05,0.017491084
4/14/2015,0.001953118,0.000391692,0.002122009,0.000923105,0.010148263,0.001628358,0.001331003,0.000171143,-0.000822586,-0.009047404,0.001862181,0.00057401,0.000161752,0.00700556,0.006327443,0.001006645,0.001550261,0.001667611,0.000636529,-0.002304394,0.001286544,0.003118963,2.00987E-05,-0.003253211,0.000898546,0.003862857
4/15/2015,0.000396641,0.001295985,0.000341379,0.000737871,0.020529558,0.005135087,0.00277332,0.000929613,5.48602E-05,0.000305819,0.00017717,-6.47911E-05,-0.00195684,-0.00304644,-0.003095063,-0.000356169,0.003036968,-0.000164579,-0.000284356,-0.006433442,-0.001051895,0.000302226,0.001265403,0.004695692,0.000342868,-0.013079443
4/16/2015,-0.00016997,0.000672993,-9.9557E-05,-0.001660977,0.009535313,-0.000778798,0.002082227,0.000386465,-0.001775338,-0.019189865,0.000646404,-9.25622E-06,0.000805423,-0.004870212,-0.004062881,-0.00139197,-0.005132371,-0.002698835,-0.001870642,0.00658831,-0.000154192,-0.00047095,0.000167262,0.010752792,0.000636444,0.029917257
4/17/2015,0.001641831,-0.00069864,0.001740818,0.000369344,-0.007906797,-0.011375676,0.000777902,-0.000156054,-0.001784612,-0.026189082,0.001689302,0.00033317,-0.011780508,0.001138736,0.000939054,-0.000804378,-0.009366077,-0.000970062,-0.000332473,-0.011771972,-0.00142237,-2.10925E-05,-0.001707382,-0.016535244,0.001792918,0.018132853
4/20/2015,-0.001738969,0.000288488,-0.001776376,-0.001293303,-0.005481986,0.009192762,0.000181666,-0.000371656,-0.000171295,0.017235774,-6.18612E-05,1.85062E-05,-0.000936179,-0.00025524,-0.000261824,0.000113332,0.008186987,-0.001860196,-0.000610952,-0.007642774,-0.000806013,-0.000597806,-0.001106332,-0.006180714,0.003892589,-0.016279489
